split,n,train_pearson,val_pearson,train_spearman,val_spearman,k
densenet_average_colless_index,201,-0.7739096003546206,-0.6919063912285218,-0.84825565996435,-0.8836835047480622,20
densenet_sackin_index,201,-0.8353272615195041,-0.8996160741863476,-0.6996482540482004,-0.717824565855,20
densenet_average_sackin_index,201,-0.6650627310274367,-0.6253725472255696,-0.8895415702136032,-0.9380531039415804,20
densenet_leaf_count,201,-0.3667102650241685,-0.4204022051370243,0.3347405220386455,0.3987346340233172,20
resnet_average_branching_factor,201,-0.2883848007036689,-0.3308630849458407,0.0009355970029739,0.0036277697478364,20
resnet_colless_index,201,-0.8792272961460305,-0.926068987025726,-0.6680200547811314,-0.6366151268345454,20
resnet_average_colless_index,201,-0.5247420745506516,-0.4589863544645822,-0.5185166029008514,-0.4956730748181909,20
resnet_sackin_index,201,-0.7764112194601792,-0.8611400641079043,-0.9152053708062624,-0.8867122905543633,20
resnet_average_sackin_index,201,-0.7076720888343611,-0.6068808966627838,-0.8860209540047518,-0.8598633354137427,20
resnet_leaf_count,201,-0.7047095085573017,-0.8030820946444088,-0.4703476519041915,-0.4476250177082569,20
cifar_densenet_average_branching_factor,201,-0.0419467818737827,-0.0725547040362226,0.3354918830573989,0.3575681425979796,20
cifar_densenet_colless_index,201,-0.9571724227714092,-0.9671521521959692,-0.5488892164718421,-0.56736996497461,20
cifar_densenet_average_colless_index,201,-0.7739096003546206,-0.6919063912285218,-0.84825565996435,-0.8836835047480622,20
cifar_densenet_sackin_index,201,-0.8353272615195041,-0.8996160741863476,-0.6996482540482004,-0.717824565855,20
cifar_densenet_average_sackin_index,201,-0.6650627310274367,-0.6253725472255696,-0.8895415702136032,-0.9380531039415804,20
cifar_densenet_leaf_count,201,-0.3667102650241685,-0.4204022051370243,0.3347405220386455,0.3987346340233172,20
cifar_resnet_average_branching_factor,201,-0.2883848007036689,-0.3308630849458407,0.0009355970029739,0.0036277697478364,20
cifar_resnet_colless_index,201,-0.8792272961460305,-0.926068987025726,-0.6680200547811314,-0.6366151268345454,20
cifar_resnet_average_colless_index,201,-0.5247420745506516,-0.4589863544645822,-0.5185166029008514,-0.4956730748181909,20
cifar_resnet_sackin_index,201,-0.7764112194601792,-0.8611400641079043,-0.9152053708062624,-0.8867122905543633,20
cifar_resnet_average_sackin_index,201,-0.7076720888343611,-0.6068808966627838,-0.8860209540047518,-0.8598633354137427,20
cifar_resnet_leaf_count,201,-0.7047095085573017,-0.8030820946444088,-0.4703476519041915,-0.4476250177082569,20
full_average_branching_factor,402,-0.1300943551769137,-0.1503957320855743,0.1536945497717057,0.1854728955246105,25
full_colless_index,402,-0.8751985884081905,-0.9231661728201256,-0.5640565505962141,-0.5643087726257456,25
full_average_colless_index,402,-0.5744900582239312,-0.5198398624741487,-0.6416812435447964,-0.6777272652824057,25
full_sackin_index,402,-0.7738296129357106,-0.8526067152728178,-0.7022494343420073,-0.6620406050391279,25
full_average_sackin_index,402,-0.6797512240569493,-0.613066217441514,-0.8821062813426039,-0.8981527109325721,25
full_leaf_count,402,-0.4576930318169663,-0.5321892814741901,-0.0025154830099967,0.0659606904258563,25
cifar_average_branching_factor,402,-0.1300943551769137,-0.1503957320855743,0.1536945497717057,0.1854728955246105,25
cifar_colless_index,402,-0.8751985884081905,-0.9231661728201256,-0.5640565505962141,-0.5643087726257456,25
cifar_average_colless_index,402,-0.5744900582239312,-0.5198398624741487,-0.6416812435447964,-0.6777272652824057,25
cifar_sackin_index,402,-0.7738296129357106,-0.8526067152728178,-0.7022494343420073,-0.6620406050391279,25
cifar_average_sackin_index,402,-0.6797512240569493,-0.613066217441514,-0.8821062813426039,-0.8981527109325721,25
cifar_leaf_count,402,-0.4576930318169663,-0.5321892814741901,-0.0025154830099967,0.0659606904258563,25
densenet_average_branching_factor,201,-0.0925104244052888,-0.1014558679530421,0.2489030132785042,0.290098441821929,25
